gene_set_source,gene_set_id,gene_set_label,gene_set_type,gene_set_size,cell_class,within_species_meanROC,human_meanROC,marmoset_meanROC,mouse_meanROC,human_marmoset_meanROC,human_mouse_meanROC,marmoset_mouse_meanROC
SynGO,GO:0099061,integral component of postsynaptic density membrane,Signaling,82,GABAergic,0.956609494,0.95703796,0.943211598,0.969578926,0.851277709,0.782986038,0.722057012
HGNC,282,Glutamate receptors,Signaling,26,GABAergic,0.947598344,0.955592774,0.926727975,0.960474282,0.840628675,0.770224621,0.684685279
HGNC,1433,Cell adhesion molecules,Cell Adhesion,310,Glutamatergic,0.935582708,0.952293238,0.915528697,0.93892619,0.830075102,0.65437132,0.710976273
HGNC,1433,Cell adhesion molecules,Cell Adhesion,310,GABAergic,0.928110687,0.902638959,0.919411911,0.962281192,0.772345909,0.659427599,0.658473795
HGNC,555,Fibronectin type III domain containing,Cell Adhesion,160,Glutamatergic,0.926568174,0.953807278,0.912902026,0.912995219,0.790083516,0.681066179,0.672906533
HGNC,593,I-set domain containing,Cell Adhesion,161,Glutamatergic,0.925074904,0.944553266,0.905846359,0.924825088,0.76006092,0.622702228,0.705387461
HGNC,284,Glutamate ionotropic receptors,Signaling,18,GABAergic,0.923637276,0.936149823,0.887902441,0.946859564,0.81255646,0.7506706,0.581745427
HGNC,589,Immunoglobulin superfamily domain containing,Cell Adhesion,493,Glutamatergic,0.920295428,0.937688911,0.905546272,0.917651101,0.789133753,0.645866563,0.708849665
SynGO,GO:0099056,integral component of presynaptic membrane,Signaling,113,GABAergic,0.919437562,0.93302922,0.871041307,0.954242159,0.790276549,0.731785995,0.702714617
SynGO,GO:0099059,integral component of presynaptic active zone membrane,Signaling,45,GABAergic,0.91560872,0.92894263,0.888655603,0.929227927,0.813599206,0.686184603,0.710088557
HGNC,294,Ion channels by gating mechanism,Ion Channel,236,GABAergic,0.914948681,0.901261293,0.890638376,0.952946374,0.781372074,0.731331866,0.660910973
HGNC,177,Ion channels,Ion Channel,328,GABAergic,0.91230485,0.889185736,0.896446129,0.951282686,0.777685098,0.723138619,0.654109699
SynGO,GO:0099507,ligand-gated ion channel activity involved in regulation of presynaptic membrane potential,Signaling,23,GABAergic,0.909925027,0.927835086,0.866170962,0.935769033,0.807813031,0.748631998,0.576415952
SynGO,GO:0099061,integral component of postsynaptic density membrane,Signaling,82,Glutamatergic,0.909527386,0.936804706,0.901899531,0.889877921,0.798500702,0.669806741,0.804076019
HGNC,282,Glutamate receptors,Signaling,26,Glutamatergic,0.906692417,0.925526491,0.894173169,0.900377592,0.772804625,0.735093638,0.748302842
HGNC,1690,MicroRNA host genes,Other,920,Glutamatergic,0.904338468,0.934788789,0.879334618,0.898891997,0.80080583,0.662348328,0.664854688
HGNC,1691,MicroRNA protein coding host genes,Other,845,Glutamatergic,0.904338468,0.934788789,0.879334618,0.898891997,0.80080583,0.662348328,0.664854688
HGNC,593,I-set domain containing,Cell Adhesion,161,GABAergic,0.903519917,0.87392078,0.896104787,0.940534184,0.739803409,0.671927979,0.668441203
SynGO,GO:0099056,integral component of presynaptic membrane,Signaling,113,Glutamatergic,0.901126717,0.929267343,0.877281553,0.896831253,0.796166765,0.704397441,0.7027871
HGNC,1690,MicroRNA host genes,Other,920,GABAergic,0.89875541,0.8784164,0.884830552,0.933019279,0.757811539,0.665336563,0.687523873
HGNC,1691,MicroRNA protein coding host genes,Other,845,GABAergic,0.89875541,0.8784164,0.884830552,0.933019279,0.757811539,0.665336563,0.687523873
HGNC,555,Fibronectin type III domain containing,Cell Adhesion,160,GABAergic,0.898617513,0.871578869,0.895116747,0.929156924,0.70881691,0.638009384,0.719234642
SynGO,GO:0099059,integral component of presynaptic active zone membrane,Signaling,45,Glutamatergic,0.89791114,0.921179872,0.869295825,0.903257724,0.790736829,0.735592962,0.689997497
HGNC,161,Ligand gated ion channels,Ion Channel,78,GABAergic,0.895990106,0.90498103,0.846648763,0.936340525,0.768820178,0.72021015,0.587697988
SynGO,GO:0099055,integral component of postsynaptic membrane,Signaling,93,Glutamatergic,0.895895231,0.908161253,0.878307911,0.901216528,0.794302277,0.727614978,0.656121573
HGNC,1410,Ig-like cell adhesion molecule family,Cell Adhesion,119,Glutamatergic,0.89538512,0.911617624,0.86565291,0.908884828,0.727952777,0.629355692,0.73372278
HGNC,1410,Ig-like cell adhesion molecule family,Cell Adhesion,119,GABAergic,0.893252929,0.864247582,0.886157507,0.929353697,0.77656274,0.702538983,0.649746289
HGNC,16,Cadherins,Cell Adhesion,125,GABAergic,0.893058091,0.880699769,0.876881001,0.921593503,0.721333665,0.601111569,0.636393107
HGNC,16,Cadherins,Cell Adhesion,125,Glutamatergic,0.891288677,0.907632381,0.879081954,0.887151695,0.799994218,0.644138449,0.63618203
HGNC,589,Immunoglobulin superfamily domain containing,Cell Adhesion,493,GABAergic,0.8908437,0.848290296,0.882545641,0.941695164,0.729680212,0.674479179,0.681744377
SynGO,GO:0099055,integral component of postsynaptic membrane,Signaling,93,GABAergic,0.889862891,0.909075742,0.826070099,0.934442831,0.735137695,0.728745973,0.715048175
HGNC,294,Ion channels by gating mechanism,Ion Channel,236,Glutamatergic,0.883296743,0.906445427,0.842257546,0.901187258,0.738333784,0.680823757,0.717878303
HGNC,1186,Type II classical cadherins,Cell Adhesion,13,Glutamatergic,0.880990965,0.914697153,0.848755496,0.879520244,0.767179123,0.678032322,0.655633849
HGNC,813,Protein tyrosine phosphatases receptor type,Signaling,21,GABAergic,0.879224023,0.86899764,0.856643392,0.912031036,0.732203708,0.648372058,0.688058742
SynGO,GO:0099560,synapse adhesion between pre- and post-synapse,Signaling,31,Glutamatergic,0.876211089,0.898587202,0.853983883,0.876062181,0.764581715,0.642971811,0.667156161
SynGO,GO:1904315,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Signaling,43,GABAergic,0.875790364,0.884876594,0.815811075,0.926683423,0.753519453,0.697243443,0.563739794
HGNC,177,Ion channels,Ion Channel,328,Glutamatergic,0.874869701,0.895876411,0.83271037,0.896022323,0.733081085,0.67864315,0.720180837
HGNC,139,G protein-coupled receptors,Signaling,1412,GABAergic,0.872268751,0.902029169,0.809462779,0.905314305,0.72311756,0.669002216,0.63867518
HGNC,18,Major cadherins,Cell Adhesion,32,Glutamatergic,0.871952786,0.895428067,0.844509986,0.875920307,0.775915419,0.638819412,0.636237859
HGNC,178,Voltage-gated ion channels,Ion Channel,148,GABAergic,0.86871814,0.842732013,0.849937931,0.913484476,0.718841817,0.669660973,0.658956455
SynGO,GO:0099560,synapse adhesion between pre- and post-synapse,Signaling,31,GABAergic,0.868456335,0.854844573,0.85137664,0.899147791,0.718240229,0.630405365,0.662406515
HGNC,139,G protein-coupled receptors,Signaling,1412,Glutamatergic,0.867051489,0.904245245,0.844045169,0.852864053,0.721411086,0.664815514,0.612494715
HGNC,292,Ion channels by channel type,Ion Channel,218,GABAergic,0.866165426,0.827560235,0.85834381,0.912592235,0.714859835,0.665866593,0.639609915
HGNC,140,"G protein-coupled receptors, Class A rhodopsin-like",Signaling,1157,GABAergic,0.86478702,0.911465457,0.79827641,0.884619192,0.733493908,0.671612805,0.651902435
SynGO,GO:0050804,modulation of chemical synaptic transmission,Signaling,81,GABAergic,0.86213011,0.865709124,0.814766972,0.905914234,0.6996999,0.619271922,0.684569257
HGNC,813,Protein tyrosine phosphatases receptor type,Signaling,21,Glutamatergic,0.857085455,0.896587565,0.858928336,0.815740465,0.778798229,0.686957452,0.672605948
HGNC,1186,Type II classical cadherins,Cell Adhesion,13,GABAergic,0.85512643,0.834153328,0.833402438,0.897823525,0.686000593,0.629934455,0.659470997
HGNC,140,"G protein-coupled receptors, Class A rhodopsin-like",Signaling,1157,Glutamatergic,0.853816273,0.87139465,0.84224507,0.847809098,0.721816562,0.674544856,0.624974767
HGNC,321,Receptor tyrosine kinases,Signaling,58,GABAergic,0.850007302,0.864345503,0.847444767,0.838231635,0.704394353,0.631404627,0.630422145
SynGO,GO:0099171,presynaptic modulation of chemical synaptic transmission,Signaling,42,GABAergic,0.849503248,0.857540355,0.81202942,0.87893997,0.718505722,0.63045231,0.642579049
SynGO,GO:0099507,ligand-gated ion channel activity involved in regulation of presynaptic membrane potential,Signaling,23,Glutamatergic,0.848735512,0.892834225,0.792654557,0.860717753,0.67576235,0.699991782,0.712035963
HGNC,178,Voltage-gated ion channels,Ion Channel,148,Glutamatergic,0.84696216,0.867324391,0.799009606,0.874552483,0.708931377,0.643346753,0.665082724
HGNC,763,"Sulfotransferases, membrane bound",Other,37,Glutamatergic,0.846285599,0.835652481,0.835429408,0.867774906,0.743923861,0.721353545,0.527797554
SynGO,GO:0050804,modulation of chemical synaptic transmission,Signaling,81,Glutamatergic,0.84588276,0.840518231,0.818648008,0.878482041,0.735530728,0.65668968,0.612749951
HGNC,284,Glutamate ionotropic receptors,Signaling,18,Glutamatergic,0.843988671,0.881725709,0.800553507,0.849686798,0.689200361,0.687381478,0.735987535
HGNC,863,EF-hand domain containing,Other,231,Glutamatergic,0.84365503,0.868290208,0.807846525,0.854828355,0.724844548,0.627694539,0.612015261
HGNC,821,Sulfotransferases,Other,51,Glutamatergic,0.841348948,0.827799863,0.830832529,0.865414452,0.739273485,0.713812282,0.529782918
HGNC,863,EF-hand domain containing,Other,231,GABAergic,0.838518132,0.828048838,0.824533794,0.862971764,0.693656491,0.62029844,0.611651385
HGNC,320,Receptor kinases,Signaling,77,GABAergic,0.83798407,0.854646158,0.83134025,0.827965802,0.691795599,0.62979173,0.623492494
HGNC,542,Receptor ligands,Signaling,389,GABAergic,0.83505161,0.880798298,0.74358023,0.880776301,0.706215003,0.706673799,0.531963731
HGNC,182,Calcium channels,Ion Channel,41,GABAergic,0.833865533,0.814993336,0.804332216,0.882271049,0.688072906,0.681754616,0.645583016
HGNC,18,Major cadherins,Cell Adhesion,32,GABAergic,0.832264625,0.785719313,0.824541998,0.886532564,0.67522313,0.601194928,0.625733644
HGNC,161,Ligand gated ion channels,Ion Channel,78,Glutamatergic,0.83118637,0.869103132,0.800070397,0.824385583,0.684100775,0.65774898,0.68999541
